Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isol_growth_condt,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,strain
SRR12022171,AMPLICON,587,50581742,PRJNA639601,SAMN15240216,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",26779129,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug5B,[ENVO:01000049],coral nursery,coral reef,SRX8554010,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug5B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug5B,SRP267474,not applicable
SRR12022172,AMPLICON,588,62084427,PRJNA639601,SAMN15240215,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",33443318,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug5A,[ENVO:01000049],coral nursery,coral reef,SRX8554009,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug5A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug5A,SRP267474,not applicable
SRR12022173,AMPLICON,586,37241264,PRJNA639601,SAMN15240214,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",20242273,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug58B,[ENVO:01000049],coral nursery,coral reef,SRX8554008,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug58B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug58B,SRP267474,not applicable
SRR12022174,AMPLICON,590,36117323,PRJNA639601,SAMN15240213,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",19401264,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug58A,[ENVO:01000049],coral nursery,coral reef,SRX8554007,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug58A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug58A,SRP267474,not applicable
SRR12022175,AMPLICON,573,37936696,PRJNA639601,SAMN15240241,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",21207506,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep57A,[ENVO:01000049],coral nursery,coral reef,SRX8554006,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep57A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep57A,SRP267474,not applicable
SRR12022176,AMPLICON,562,39594458,PRJNA639601,SAMN15240240,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",21870349,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep50B,[ENVO:01000049],coral nursery,coral reef,SRX8554005,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep50B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep50B,SRP267474,not applicable
SRR12022177,AMPLICON,568,32091186,PRJNA639601,SAMN15240239,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",17887633,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep50A,[ENVO:01000049],coral nursery,coral reef,SRX8554004,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep50A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep50A,SRP267474,not applicable
SRR12022178,AMPLICON,481,39841292,PRJNA639601,SAMN15240194,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",20519535,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Aug1B,[ENVO:01000049],coral nursery,coral reef,SRX8554003,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Aug1B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Aug1B,SRP267474,not applicable
SRR12022179,AMPLICON,581,13521217,PRJNA639601,SAMN15240238,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",7827791,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep4B,[ENVO:01000049],coral nursery,coral reef,SRX8554002,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep4B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep4B,SRP267474,not applicable
SRR12022180,AMPLICON,563,13473009,PRJNA639601,SAMN15240237,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",7673285,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep4A,[ENVO:01000049],coral nursery,coral reef,SRX8554001,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep4A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep4A,SRP267474,not applicable
SRR12022181,AMPLICON,589,58476831,PRJNA639601,SAMN15240236,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",32772384,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep47B,[ENVO:01000049],coral nursery,coral reef,SRX8554000,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep47B,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep47B,SRP267474,not applicable
SRR12022182,AMPLICON,573,32496294,PRJNA639601,SAMN15240235,"MIMARKS.specimen,MIGS/MIMS/MIMARKS.host-associated",18106565,OREGON STATE UNIVERSITY,2015-08,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sep47A,[ENVO:01000049],coral nursery,coral reef,SRX8553999,USA,North America,USA:Mote Marine Laboratory in situ coral nursery,coral,Illumina MiSeq,reef,not applicable,27.32641536 N 82.57294770 W,Acropora.cervicornis.Sep47A,PAIRED,PCR,GENOMIC,Acropora cervicornis,ILLUMINA,2020-12-31T00:00:00Z,2020-06-16T09:50:00Z,1,Acropora.cervicornis.Sep47A,SRP267474,not applicable
